tenure,monthly_charges,contract_months,support_calls,churn
42,114.79,12,0,1
69,29.41,24,0,0
28,23.75,12,6,1
12,75.1,1,1,0
8,77.71,12,0,0
6,75.67,1,4,1
70,31.78,12,8,0
24,30.31,24,3,0
71,91.21,24,0,0
64,88.04,12,5,0
59,56.16,1,2,0
32,28.19,12,8,0
44,92.94,12,1,1
54,36.5,12,2,0
54,23.92,24,1,0
41,54.01,12,7,0
59,26.88,1,4,0
9,26.07,24,4,0
58,48.46,12,5,1
60,55.55,24,1,0
28,96.82,1,3,1
64,28.06,12,6,0
18,101.93,24,4,0
46,88.27,12,3,0
23,35.13,24,3,0
24,46.27,1,2,0
48,80.98,12,2,0
66,115.02,24,0,0
72,59.24,12,6,1
52,26.22,1,3,0
15,54.01,1,1,1
20,73.66,12,0,0
27,81.41,1,4,0
47,67.42,1,7,0
60,68.04,12,1,0
44,94.04,12,2,0
27,115.1,24,5,1
70,111.41,24,4,0
12,89.62,12,8,0
22,55.57,1,8,0
65,52.97,1,3,0
52,93.99,1,3,1
46,93.1,1,4,1
25,89.25,12,7,0
45,115.5,12,1,1
30,67.01,12,3,0
1,67.95,24,5,0
11,103.46,1,6,1
26,67.8,1,6,0
43,28.67,24,6,0
11,92.48,1,2,1
60,100.65,1,7,1
45,35.59,24,2,0
14,72.66,1,6,0
25,102.62,1,0,1
38,70.12,24,5,0
54,103.42,1,5,0
67,62.06,24,2,0
68,71.05,12,2,0
20,37.23,12,1,0
42,88.23,24,8,0
14,108.32,1,3,1
6,97.23,24,7,1
9,64.32,24,8,0
26,89.27,12,8,0
62,70.78,1,8,0
34,112.28,1,7,1
16,59.24,12,1,0
55,27.31,24,4,0
20,113.95,24,5,1
18,116.75,1,1,1
63,36.28,24,3,0
56,119.41,12,5,1
46,51.85,24,5,1
71,65.87,24,0,0
67,82.39,24,1,0
30,117.17,1,1,1
6,110.59,1,4,1
55,104.96,24,4,0
69,111.92,24,7,0
12,47.91,24,2,0
10,46.89,1,1,0
11,80.82,1,1,1
16,65.38,12,8,0
35,82.17,1,8,0
15,116.92,12,0,1
40,82.87,24,3,0
65,87.22,12,5,0
33,23.69,1,8,0
25,71.42,1,7,1
56,85.65,24,6,0
40,88.77,1,5,1
18,60.47,12,0,0
2,27.07,24,4,0
8,28.45,12,8,0
37,79.88,24,4,0
24,35.75,12,0,0
43,117.26,24,5,1
40,41.79,1,0,0
11,67.46,24,3,1
1,29.09,1,2,1
6,59.4,12,4,0
11,78.56,24,2,0
50,96.43,24,7,1
19,24.38,24,8,0
65,33.93,24,8,0
3,102.64,24,3,1
6,33.31,12,1,1
58,75.85,24,0,0
32,68.93,1,7,0
65,109.79,1,8,1
61,45.22,1,4,1
27,43.07,24,7,0
49,27.67,24,4,0
26,27.75,1,5,1
39,82.12,1,0,0
63,46.88,24,1,0
63,49.09,24,4,0
60,96.72,24,3,0
11,113.63,1,4,1
65,116.81,12,4,0
27,27.46,1,2,0
34,115.27,1,8,1
15,90.33,1,7,0
63,59.41,1,0,0
58,60.54,24,2,0
49,51.61,12,0,0
44,103.91,1,3,0
38,45.32,1,6,1
10,56.07,12,4,0
36,30.17,24,4,0
20,44.93,12,6,0
25,97.32,12,0,0
52,111.34,24,8,1
11,24.95,24,6,1
18,84.45,12,7,1
71,32.73,12,6,0
39,45.57,24,4,0
31,50.08,24,6,1
21,27.52,24,7,0
58,110.63,12,6,1
25,44.41,1,5,0
41,43.91,12,3,0
53,58.28,24,8,0
35,53.82,1,7,1
47,32.59,24,8,0
28,29.26,1,6,1
58,63.18,12,0,0
55,90.95,12,7,1
51,113.02,24,7,0
32,98.31,1,2,1
14,114.15,24,7,1
6,20.14,1,3,1
5,84.55,12,2,0
68,83.63,24,1,0
39,72.44,24,3,0
29,99.05,1,0,1
59,47.86,12,3,0
31,74.7,1,6,0
40,25.53,1,7,0
54,28.11,1,6,0
30,69.29,24,5,0
47,88.26,1,0,0
65,26.74,12,3,0
25,43.08,1,4,0
38,30.9,24,7,0
29,68.51,24,0,0
19,112.19,1,3,1
19,61.54,24,0,0
58,109.82,12,1,0
22,52.92,1,8,0
5,51.18,24,6,0
43,64.24,1,0,1
11,55.15,1,8,0
27,58.01,12,6,1
61,39.57,24,7,1
47,93.73,12,0,0
32,101.18,12,0,0
60,26.26,1,4,1
9,109.86,12,5,1
6,46.22,24,5,0
39,20.38,24,1,0
30,30.73,24,7,0
50,98.98,12,7,1
64,38.29,24,4,0
20,80.73,12,5,0
11,71.19,12,2,1
9,84.95,12,8,1
21,118.03,1,1,1
11,40.83,12,7,0
58,37.32,1,6,1
31,94.8,24,1,0
38,49.38,24,4,0
34,39.92,1,2,1
20,48.14,24,3,0
51,45.17,1,8,0
13,85.33,1,1,1
30,104.06,12,0,0
30,31.92,1,3,0
48,71.27,1,7,0
1,30.58,24,5,1
48,54.0,1,3,0
5,79.94,24,3,0
42,60.9,12,2,0
10,40.34,12,8,1
53,30.14,12,8,1
69,29.12,1,6,0
53,118.82,24,4,0
7,51.24,24,5,1
3,106.42,12,3,1
52,40.37,1,6,0
55,31.35,1,6,0
47,66.09,1,2,1
71,34.25,12,1,0
48,93.72,1,2,1
21,72.12,1,1,0
26,50.16,1,7,1
50,28.63,24,2,0
29,82.11,24,3,0
24,76.54,1,6,0
21,58.36,1,2,1
25,24.11,24,0,0
42,31.77,24,7,0
40,84.9,12,3,0
48,64.68,12,2,0
63,66.53,12,7,0
61,60.03,1,2,0
47,29.17,12,8,0
6,24.07,1,1,0
41,97.76,24,1,1
65,109.49,24,2,1
9,119.61,24,1,1
63,48.79,1,3,1
45,81.04,12,2,0
36,110.51,12,2,1
62,40.83,12,8,0
48,23.68,1,6,1
36,87.97,12,2,0
34,31.51,24,0,0
47,116.62,12,8,0
14,45.2,24,6,0
48,46.48,12,2,0
11,64.23,1,0,1
67,45.37,24,5,0
5,42.16,12,6,1
47,109.55,1,7,1
6,22.23,1,5,1
67,55.72,1,6,0
18,40.42,24,7,1
2,113.66,1,2,1
9,83.82,24,4,0
34,116.71,1,8,0
57,80.19,24,7,0
1,24.4,24,0,0
31,35.92,1,0,0
26,34.23,1,8,0
65,84.76,12,2,0
9,50.03,1,7,1
1,57.52,12,7,1
58,37.54,1,4,1
5,32.33,24,4,0
35,83.59,24,6,0
67,117.19,12,3,1
65,21.52,12,3,0
26,114.47,24,5,1
50,52.86,1,6,0
69,66.95,24,0,0
56,115.57,1,4,0
51,82.26,1,2,1
4,31.19,24,2,1
19,90.07,1,0,1
6,89.7,24,0,1
47,39.93,24,1,0
50,30.71,1,3,1
5,114.93,24,1,0
37,67.71,1,1,0
27,49.45,12,6,0
45,45.67,12,0,0
48,111.03,24,8,1
