tenure,monthly_charges,contract_months,support_calls
33,114.12,1,8
4,103.72,1,4
66,90.96,24,7
8,30.11,12,0
26,87.69,12,7
14,67.07,12,4
50,32.41,12,6
22,64.14,1,0
60,91.72,1,0
21,112.77,1,1
48,108.87,1,7
13,112.59,12,0
10,65.23,12,5
30,67.75,24,5
19,53.2,24,0
24,91.37,24,2
57,107.07,12,6
53,44.68,1,4
38,53.45,1,4
63,30.92,12,7
15,35.34,24,0
28,75.99,12,1
33,95.49,12,6
34,119.81,1,1
50,48.94,1,0
38,34.44,24,0
57,100.7,12,8
18,64.3,24,4
24,56.01,1,6
28,47.68,1,2
24,72.17,1,2
26,80.07,1,7
36,37.53,1,3
40,40.23,1,8
53,104.11,1,8
45,53.52,24,7
12,21.54,12,2
35,44.83,24,5
5,36.35,12,0
46,71.98,12,8
10,32.08,24,3
42,97.91,12,0
38,107.28,24,7
58,71.33,24,8
18,22.07,1,3
24,36.79,12,4
72,101.72,1,0
13,112.63,24,3
34,21.77,24,7
67,43.84,12,1
